
Komşu olmayan ilçeler arasındaki mesafeler:
Aliağa (0) - Balçova (1): Tanımlı = 91 km, Hesaplanan = 76 km, Fark = 15 km
Karşıyaka (16) - Karabağlar (14)
Karşıyaka (16) - Kemalpaşa (17)
Karşıyaka (16) - Konak (20)
Karşıyaka (16) - Menderes (21)
Karşıyaka (16) - Ödemiş (24)
Karşıyaka (16) - Selçuk (26)
Karşıyaka (16) - Tire (27)
Karşıyaka (16) - Torbalı (28)
Kemalpaşa (17) - Bayraklı (3)
Kemalpaşa (17) - Beydağ (5)
Kemalpaşa (17) - Çiğli (9)
Kemalpaşa (17) - Karşıyaka (16)
Kemalpaşa (17) - Kiraz (19)
Kemalpaşa (17) - Konak (20)
Kemalpaşa (17) - Menderes (21)
Kemalpaşa (17) - Ödemiş (24)
Kemalpaşa (17) - Selçuk (26)
Kemalpaşa (17) - Tire (27)
Kınık (18) - Aliağa (0)
Kınık (18) - Beydağ (5)
Kınık (18) - Çiğli (9)
Kınık (18) - Dikili (10)
Kınık (18) - Foça (11)
Kınık (18) - Kiraz (19)
Kınık (18) - Menemen (22)
Kınık (18) - Ödemiş (24)
Kiraz (19) - Bayındır (2)
Kiraz (19) - Bornova (6)
Kiraz (19) - Buca (7)
Kiraz (19) - Çiğli (9)
Kiraz (19) - Gaziemir (12)
Kiraz (19) - Güzelbahçe (13)
Kiraz (19) - Karabağlar (14)
Kiraz (19) - Kemalpaşa (17)
Kiraz (19) - Kınık (18)
Kiraz (19) - Selçuk (26)
Konak (20) - Bayındır (2)
Konak (20) - Beydağ (5)
Konak (20) - Çiğli (9)
Konak (20) - Gaziemir (12)
Konak (20) - Güzelbahçe (13)
Konak (20) - Karşıyaka (16)
Konak (20) - Kemalpaşa (17)
Konak (20) - Menderes (21)
Konak (20) - Ödemiş (24)
Konak (20) - Selçuk (26)
Konak (20) - Torbalı (28)
Menderes (21) - Balçova (1)
Menderes (21) - Bayındır (2)
Menderes (21) - Bayraklı (3)
Menderes (21) - Beydağ (5)
Menderes (21) - Bornova (6)
Menderes (21) - Çeşme (8)
Menderes (21) - Çiğli (9)
Menderes (21) - Güzelbahçe (13)
Menderes (21) - Karaburun (15)
Menderes (21) - Karşıyaka (16)
Menderes (21) - Kemalpaşa (17)
Menderes (21) - Konak (20)
Menderes (21) - Narlıdere (23)
Menderes (21) - Ödemiş (24)
Menderes (21) - Tire (27)
Menderes (21) - Urla (29)
Menemen (22) - Bergama (4)
Menemen (22) - Dikili (10)
Menemen (22) - Kınık (18)
Narlıdere (23) - Beydağ (5)
Narlıdere (23) - Buca (7)
Narlıdere (23) - Çeşme (8)
Narlıdere (23) - Gaziemir (12)
Narlıdere (23) - Karaburun (15)
Narlıdere (23) - Menderes (21)
Narlıdere (23) - Ödemiş (24)
Narlıdere (23) - Seferihisar (25)
Narlıdere (23) - Selçuk (26)
Narlıdere (23) - Torbalı (28)
Narlıdere (23) - Urla (29)
Ödemiş (24) - Balçova (1)
Ödemiş (24) - Bayraklı (3)
Ödemiş (24) - Bornova (6)
Ödemiş (24) - Buca (7)
Ödemiş (24) - Çiğli (9)
Ödemiş (24) - Gaziemir (12)
Ödemiş (24) - Güzelbahçe (13)
Ödemiş (24) - Karabağlar (14)
Ödemiş (24) - Karşıyaka (16)
Ödemiş (24) - Kemalpaşa (17)
Ödemiş (24) - Kınık (18)
Ödemiş (24) - Konak (20)
Ödemiş (24) - Menderes (21)
Ödemiş (24) - Narlıdere (23)
Ödemiş (24) - Seferihisar (25)
Ödemiş (24) - Selçuk (26)
Ödemiş (24) - Torbalı (28)
Seferihisar (25) - Balçova (1)
Seferihisar (25) - Beydağ (5)
Seferihisar (25) - Buca (7)
Seferihisar (25) - Çeşme (8)
Seferihisar (25) - Gaziemir (12)
Seferihisar (25) - Karaburun (15)
Seferihisar (25) - Narlıdere (23)
Seferihisar (25) - Ödemiş (24)
Seferihisar (25) - Selçuk (26)
Seferihisar (25) - Torbalı (28)
Selçuk (26) - Balçova (1)
Selçuk (26) - Bayındır (2)
Selçuk (26) - Bayraklı (3)
Selçuk (26) - Beydağ (5)
Selçuk (26) - Bornova (6)
Selçuk (26) - Buca (7)
Selçuk (26) - Çiğli (9)
Selçuk (26) - Gaziemir (12)
Selçuk (26) - Karabağlar (14)
Selçuk (26) - Karşıyaka (16)
Selçuk (26) - Kemalpaşa (17)
Selçuk (26) - Kiraz (19)
Selçuk (26) - Konak (20)
Selçuk (26) - Narlıdere (23)
Selçuk (26) - Ödemiş (24)
Selçuk (26) - Seferihisar (25)
Tire (27) - Bayraklı (3)
Tire (27) - Beydağ (5)
Tire (27) - Bornova (6)
Tire (27) - Buca (7)
Tire (27) - Çiğli (9)
Tire (27) - Gaziemir (12)
Tire (27) - Güzelbahçe (13)
Tire (27) - Karabağlar (14)
Tire (27) - Karşıyaka (16)
Tire (27) - Kemalpaşa (17)
Tire (27) - Menderes (21)
Torbalı (28) - Balçova (1)
Torbalı (28) - Bayraklı (3)
Torbalı (28) - Beydağ (5)
Torbalı (28) - Bornova (6)
Torbalı (28) - Çeşme (8)
Torbalı (28) - Çiğli (9)
Torbalı (28) - Gaziemir (12)
Torbalı (28) - Güzelbahçe (13)
Torbalı (28) - Karabağlar (14)
Torbalı (28) - Karaburun (15)
Torbalı (28) - Karşıyaka (16)
Torbalı (28) - Konak (20)
Torbalı (28) - Narlıdere (23)
Torbalı (28) - Ödemiş (24)
Torbalı (28) - Seferihisar (25)
Torbalı (28) - Urla (29)
Urla (29) - Balçova (1)
Urla (29) - Beydağ (5)
Urla (29) - Gaziemir (12)
Urla (29) - Menderes (21)
Urla (29) - Narlıdere (23)
Urla (29) - Torbalı (28)

En büyük fark: 22 km, İlçeler:
Bergama (4) - Karabağlar (14)
Dikili (10) - Karabağlar (14)
Karabağlar (14) - Bergama (4)
Karabağlar (14) - Dikili (10)
Karabağlar (14) - Kınık (18)
Kınık (18) - Karabağlar (14)
